1,Стол письменый,1600х700х750,"Дуб Сонома, черный","Дуб Вотан, черный","Дуб Зебрано, серый","Столешница ЛДСП 26 мм, подстолье - разборная металлоконструкция из профильной трубы, порошковая окраска, экран и полка под провода из перфорированного листа, наличие подвеса под системный блок с возможностью крепления слева или справа стола.",36000
2,Стол лабораторный,1600х600х850,"Белый, черный","Белый, белый","Серый, белый","Столешница Постформинг 26 мм, подстолье - сварная неразборная металлоконструкция из профильной трубы, порошковая покраска, корпус из ЛМДФ, фасады в алюминиевой рамке",38500
3,Стол ветеринарый,1600х800х800,Серый,Белый,Серый М,"Столешница Пластик 10 мм, подстолье - конструкционный анодированый алюминий сечением 40х40, колесные шарикоподшибниковые опоры, каретка на подшипниках, крепежные вины из нержавеющей стали",246000
4,Шкаф картотечный,900х1600х400,"Зеленый, желтый","Серый, желтый","Синий, красный","Корпус - ЛДСП, регулируемые опоры, двухстороний доступ, возможность изготовления надписи под заказ",29100
5,Кушетка физиотерапевтическая,2000х600х550,Синий,Бежевый,Серый,"Ложе из ДСП обтянутое кожзамом, поролон 30мм, каркас - массив древесиный, механизмы - RastoMat",42560
6,Стол инструментальный,640х420х880,Анодированный,Серый,Анодированный,"Полки из нержавеющей стали, каркас аннодированый алюминиевый профиль, шарикоподшибниковые колеса",38600
7,Стол журнальный,1000х500х550,"Дуб Вотан, серый","Дуб Вотан, серый муар","Дуб Баррик, черный","Столешница и каркас из ЛДСП 54 мм, детали из трех слоев, центральный слой с черной кромкой, остальные в цвет.",28950
8,Стол руководителя,1800х800х750,Сонома,Дуб Баррик,Дуб Молочный,"Столешница и каркас из ЛДСП 54 мм, детали из трех слоев, центральный слой с черной кромкой, остальные в цвет",28950
9,Кушетка медицинская люкс,2000х600х550,Синий,Коричневый,Болотный,"Ложе из фанеры и литого полиуретана, обтянуто кожезаменителем, каркас из профильной трубы",41200
10,Стол ветеринарный операционный,1800х1000х900,Черный,Серый,Белый,"Стол из профильной трубы, столешница нержавеющая сталь",156000
11,Тумба выкатная ТВ-01,400х400х560,Ясень Шимо Светлый,Ясень Шимо Темный,Ясень Анкор Светлый,"Материал - ЛДСП, дверка",5600
12,Тумба выкатная ТВ-02,400х400х560,Ясень Шимо Светлый,Ясень Шимо Темный,Ясень Анкор Светлый,"Материал - ЛДСП, ящик и дверка",6100
13,Тумба выкатная ТВ-03,400х400х560,Ясень Анкор Светлый,Ясень Шимо Темный,Ясень Шимо Светлый,"Материал - ЛДСП, три ящика",6300
14,Тумба выкатная ТВ-04,400х400х560,Ясень Шимо Темный,Ясень Шимо Темный,Ясень Шимо Темный,Ясень Шимо Темный,6500
15,Тумба выкатная ТВ-06,400х400х560,Ясень Анкор Светлый,Ясень Анкор Светлый,Ясень Анкор Светлый,Ясень Анкор Светлый,6050
16,Тумба выкатная ТВ-05,400х400х560,Ясень Анкор Светлый,Ясень Анкор Светлый,Ясень Анкор Светлый,Ясень Анкор Светлый,5900
17,Шкаф для документов ШД-06н,800х400х1850,Ясень Анкор Светлый,Ясень Анкор Светлый,Ясень Анкор Светлый,Ясень Анкор Светлый,15300
18,Шкаф для документов ШД-01н,800х400х1850,Ясень Анкор Светлый,Ясень Анкор Светлый,Ясень Анкор Светлый,"Корпус - ЛДСП, задняя стенка ХДФ",12000
19,Шкаф для документов ШД-02н,800х400х1850,Ясень Анкор Светлый,Ясень Анкор Светлый,Ясень Анкор Светлый,Ясень Анкор Светлый,13500
20,Шкаф для документов ШД-04н,800х400х1850,Ясень Шимо Темный,Ясень Шимо Темный,Ясень Шимо Темный,Ясень Шимо Темный,15200
21,Шкаф для документов ШД-05н,800х400х1850,Ясень Анкор Светлый,Ясень Анкор Светлый,Ясень Анкор Светлый,Ясень Анкор Светлый,13400
22,Шкаф для документов ШД-07н,800х400х1850,Ясень Анкор Светлый,Ясень Анкор Светлый,Ясень Анкор Светлый,Ясень Анкор Светлый,13900
23,Стол СП-1,1600х600х750,Ясень Анкор Светлый,Ясень Шимо Темный,Ясень Шимо Светлый,Стол прямой,11200
